sample_index,noisy_mse,denoised_mse,noisy_mae,denoised_mae,noisy_snr,denoised_snr,snr_improved,noisy_si_sdr,denoised_si_sdr,si_srd_improved
128,0.00019243946,5.226801e-05,0.011064749,0.005218454,11.010645,16.671227,5.6605816,11.017197,16.614592,5.597395
129,0.00052295974,0.00032117742,0.018237416,0.008646244,8.381702,10.498935,2.1172323,8.504702,10.109266,1.6045647
130,0.00040561857,0.00021065929,0.016066689,0.0074608307,7.5756097,10.420981,2.8453717,7.577868,10.021326,2.443458
131,0.00054917333,0.00042051118,0.018726211,0.010163484,8.925108,10.084428,1.1593199,8.993753,9.644996,0.65124226
132,0.0011806184,0.00026534608,0.027415797,0.010251583,9.248516,15.731485,6.4829693,9.247309,15.615555,6.368246
133,0.0012917289,0.00021984476,0.028696544,0.009905333,11.490212,19.180765,7.6905527,11.484028,19.151255,7.667227
134,0.001405465,0.00026244283,0.029957552,0.010238472,9.210678,16.498531,7.2878532,9.209134,16.40402,7.194886
135,0.0043987483,0.0013465829,0.052946497,0.025800701,9.311569,14.452529,5.1409597,9.309571,14.297194,4.9876223
136,0.0007119412,0.00036454797,0.021303555,0.010985004,6.6723976,9.579292,2.9068947,6.6976304,9.0745125,2.376882
137,0.00078684126,0.00023011303,0.022404332,0.008713867,9.586887,14.926347,5.3394594,9.612776,14.786559,5.1737833
138,0.00019562432,2.8343036e-05,0.0111393565,0.0034008634,7.070603,15.460367,8.389765,7.0669813,15.34111,8.274129
139,0.00075249316,0.00023634968,0.021863937,0.009314705,4.09087,9.120346,5.029476,4.1013384,8.554512,4.4531736
140,0.0040760087,0.0012850481,0.050953772,0.027146816,11.0631485,16.076305,5.013157,11.060744,15.975732,4.9149876
141,0.0031966541,0.001114048,0.04512067,0.024229879,8.406977,12.984894,4.577917,8.419706,12.760835,4.3411283
142,0.0012452035,0.00025797804,0.028118378,0.01162112,11.642919,18.479494,6.8365755,11.665848,18.417776,6.7519283
143,0.000140453,0.00058076705,0.009499406,0.012990057,9.22512,3.0604105,-6.164709,9.293548,0.105133325,-9.188415
144,0.0013288326,0.00021676294,0.029085042,0.010656033,9.448577,17.32343,7.874852,9.481375,17.244669,7.763294
145,0.00042954602,8.3369145e-05,0.016523227,0.005418535,10.798021,17.918064,7.120043,10.783991,17.849255,7.0652637
146,0.0011594648,0.00033070162,0.027197337,0.013057289,11.191477,16.639688,5.4482117,11.31098,16.545643,5.234663
147,0.00068779144,8.312555e-05,0.020933973,0.0054684314,3.392937,12.57016,9.177223,3.3246489,12.343119,9.01847
148,0.0010671067,0.0002580491,0.026053106,0.009604766,10.867563,17.032618,6.1650543,10.889334,16.945768,6.0564346
149,0.0005814379,0.00014304285,0.019239586,0.008066131,12.510686,18.601057,6.090371,12.516011,18.705675,6.189664
